日期,信号数,涨停数,盈利笔数,亏损笔数,日收益率%,T日平均涨幅%,T日平均量比,日PnL(元),权益(元),累计PnL(元),累计收益率%,回撤%,是否盈利日,代码,名称,持仓明细
2016-06-22,2,0,1,1,-0.3181,4.9470,1.2343,-3180.9841,996819.0159,-3180.9841,-0.3181,0.0000,False,"000045,000933","深纺织Ａ,神火股份",000045 深纺织Ａ -1.98% | 000933 神火股份 +1.34%
2016-06-27,2,0,1,1,2.1185,4.9794,1.4772,21117.4637,1017936.4796,17936.4796,1.7936,0.0000,True,"000408,000768","藏格矿业,中航西飞",000408 藏格矿业 +4.64% | 000768 中航西飞 -0.41%
2016-06-28,2,0,0,2,-0.6072,5.0003,1.3646,-6180.5514,1011755.9281,11755.9281,1.1756,-0.6072,False,"000591,000670","太阳能,盈方微",000591 太阳能 -0.69% | 000670 盈方微 -0.52%
2016-07-04,2,0,1,1,0.7967,4.8405,1.1208,8060.9086,1019816.8368,19816.8368,1.9817,0.0000,True,"000933,002023","神火股份,海特高新",000933 神火股份 -0.10% | 002023 海特高新 +1.69%
2016-07-06,2,0,1,1,-0.4240,4.6252,1.8267,-4323.7162,1015493.1206,15493.1206,1.5493,-0.4240,False,"000848,000999","承德露露,华润三九",000848 承德露露 -1.85% | 000999 华润三九 +1.00%
2016-07-12,2,0,1,1,0.3086,4.8788,2.0830,3134.0568,1018627.1773,18627.1773,1.8627,-0.1167,True,"000550,000670","江铃汽车,盈方微",000550 江铃汽车 -2.05% | 000670 盈方微 +2.67%
2016-07-26,2,0,0,2,-3.2594,4.9106,1.7574,-33201.1610,985426.0164,-14573.9836,-1.4574,-3.3723,False,"000983,000995","山西焦煤,皇台酒业",000983 山西焦煤 -4.91% | 000995 皇台酒业 -1.61%
2016-08-04,2,0,2,0,3.6292,4.9899,1.2094,35763.3326,1021189.3490,21189.3490,2.1189,0.0000,True,"000408,000717","藏格矿业,中南股份",000408 藏格矿业 +2.46% | 000717 中南股份 +4.80%
2016-08-05,2,0,1,1,1.5488,5.0476,2.5954,15815.9590,1037005.3080,37005.3080,3.7005,0.0000,True,"000691,000717","亚太实业,中南股份",000691 亚太实业 -1.46% | 000717 中南股份 +4.55%
2016-08-10,2,0,0,2,-2.0457,5.0185,1.1640,-21213.6154,1015791.6926,15791.6926,1.5792,-2.0457,False,"000717,000962","中南股份,东方钽业",000717 中南股份 -2.10% | 000962 东方钽业 -1.99%
2016-09-19,2,0,0,2,-1.6715,5.2415,1.7760,-16979.4165,998812.2761,-1187.7239,-0.1188,-3.6830,False,"000404,000629","长虹华意,钒钛股份",000404 长虹华意 -0.39% | 000629 钒钛股份 -2.95%
2016-09-23,2,0,0,2,-4.6937,5.0199,2.5321,-46880.7542,951931.5219,-48068.4781,-4.8068,-8.2038,False,"000504,000968","南华生物,蓝焰控股",000504 南华生物 -5.27% | 000968 蓝焰控股 -4.12%
2016-10-24,2,0,2,0,2.3798,5.1047,2.3923,22654.2129,974585.7348,-25414.2652,-2.5414,-6.0192,True,"000629,000933","钒钛股份,神火股份",000629 钒钛股份 +0.08% | 000933 神火股份 +4.68%
2016-11-08,2,0,2,0,2.5960,4.9859,1.3228,25300.6316,999886.3664,-113.6336,-0.0114,-3.5794,True,"000505,000633","京粮控股,合金投资",000505 京粮控股 +0.49% | 000633 合金投资 +4.70%
